Destination_state,Origin_state,Total migrants employment
State - CHANDIGARH (04),In other districts of the state of enumeration,0
State - CHANDIGARH (04),States in India beyond the state of enumeration,"200,291"
State - CHANDIGARH (04),Jammu & Kashmir,"1,510"
State - CHANDIGARH (04),Himachal Pradesh,"20,328"
State - CHANDIGARH (04),Punjab,"33,992"
State - CHANDIGARH (04),Chandigarh,0
State - CHANDIGARH (04),Uttarakhand,"11,602"
State - CHANDIGARH (04),Haryana,"23,039"
State - CHANDIGARH (04),NCT of Delhi,"4,947"
State - CHANDIGARH (04),Rajasthan,"2,550"
State - CHANDIGARH (04),Uttar Pradesh,"67,727"
State - CHANDIGARH (04),Bihar,"24,158"
State - CHANDIGARH (04),Sikkim,25
State - CHANDIGARH (04),Arunachal Pradesh,34
State - CHANDIGARH (04),Nagaland,21
State - CHANDIGARH (04),Manipur,80
State - CHANDIGARH (04),Mizoram,4
State - CHANDIGARH (04),Tripura,18
State - CHANDIGARH (04),Meghalaya,33
State - CHANDIGARH (04),Assam,453
State - CHANDIGARH (04),West Bengal,"2,605"
State - CHANDIGARH (04),Jharkhand,"1,258"
State - CHANDIGARH (04),Odisha,673
State - CHANDIGARH (04),Chhattisgarh,481
State - CHANDIGARH (04),Madhya Pradesh,"1,061"
State - CHANDIGARH (04),Gujarat,492
State - CHANDIGARH (04),Daman & Diu,4
State - CHANDIGARH (04),Dadra & Nagar Haveli,1
State - CHANDIGARH (04),Maharashtra,"1,146"
State - CHANDIGARH (04),Andhra Pradesh,330
State - CHANDIGARH (04),Karnataka,316
State - CHANDIGARH (04),Goa,23
State - CHANDIGARH (04),Lakshadweep,2
State - CHANDIGARH (04),Kerala,298
State - CHANDIGARH (04),Tamil Nadu,"1,056"
State - CHANDIGARH (04),Puducherry,7
State - CHANDIGARH (04),Andaman & Nicobar Islands,17
State - CHANDIGARH (04),Last residence outside India,"5,028"
State - CHANDIGARH (04),Countries in Asia beyond India,"4,709"
State - CHANDIGARH (04),Other Countries,319
State - CHANDIGARH (04),Unclassifiable,99
State - UTTARAKHAND (05),Total,"617,094"
State - UTTARAKHAND (05),Last residence within India,"590,031"
State - UTTARAKHAND (05),Within the state of enumeration but outside the place of enumeration,"298,804"
State - UTTARAKHAND (05),Elsewhere in the district of enumeration,"156,125"
State - UTTARAKHAND (05),In other districts of the state of enumeration,"142,679"
State - UTTARAKHAND (05),States in India beyond the state of enumeration,"291,227"
State - UTTARAKHAND (05),Jammu & Kashmir,"1,479"
State - UTTARAKHAND (05),Himachal Pradesh,"3,488"
State - UTTARAKHAND (05),Punjab,"8,038"
State - UTTARAKHAND (05),Chandigarh,431
State - UTTARAKHAND (05),Uttarakhand,0
State - UTTARAKHAND (05),Haryana,"5,667"
State - UTTARAKHAND (05),NCT of Delhi,"7,994"
State - UTTARAKHAND (05),Rajasthan,"3,729"
State - UTTARAKHAND (05),Uttar Pradesh,"203,460"
State - UTTARAKHAND (05),Bihar,"31,963"
State - UTTARAKHAND (05),Sikkim,109
State - UTTARAKHAND (05),Arunachal Pradesh,189
State - UTTARAKHAND (05),Nagaland,101
State - UTTARAKHAND (05),Manipur,130
