Destination_state,Origin_state,Total migrants employment
State - DAMAN & DIU (25),Other Countries,36
State - DAMAN & DIU (25),Unclassifiable,206
State - DADRA & NAGAR HAVELI (26),Total,"63,779"
State - DADRA & NAGAR HAVELI (26),Last residence within India,"61,822"
State - DADRA & NAGAR HAVELI (26),Within the state of enumeration but outside the place of enumeration,"4,779"
State - DADRA & NAGAR HAVELI (26),Elsewhere in the district of enumeration,"4,779"
State - DADRA & NAGAR HAVELI (26),In other districts of the state of enumeration,0
State - DADRA & NAGAR HAVELI (26),States in India beyond the state of enumeration,"57,043"
State - DADRA & NAGAR HAVELI (26),Jammu & Kashmir,22
State - DADRA & NAGAR HAVELI (26),Himachal Pradesh,58
State - DADRA & NAGAR HAVELI (26),Punjab,145
State - DADRA & NAGAR HAVELI (26),Chandigarh,12
State - DADRA & NAGAR HAVELI (26),Uttarakhand,372
State - DADRA & NAGAR HAVELI (26),Haryana,109
State - DADRA & NAGAR HAVELI (26),NCT of Delhi,247
State - DADRA & NAGAR HAVELI (26),Rajasthan,"2,409"
State - DADRA & NAGAR HAVELI (26),Uttar Pradesh,"15,825"
State - DADRA & NAGAR HAVELI (26),Bihar,"11,583"
State - DADRA & NAGAR HAVELI (26),Sikkim,0
State - DADRA & NAGAR HAVELI (26),Arunachal Pradesh,10
State - DADRA & NAGAR HAVELI (26),Nagaland,2
State - DADRA & NAGAR HAVELI (26),Manipur,23
State - DADRA & NAGAR HAVELI (26),Mizoram,1
State - DADRA & NAGAR HAVELI (26),Tripura,3
State - DADRA & NAGAR HAVELI (26),Meghalaya,0
State - DADRA & NAGAR HAVELI (26),Assam,"1,158"
State - DADRA & NAGAR HAVELI (26),West Bengal,"1,749"
State - DADRA & NAGAR HAVELI (26),Jharkhand,"1,516"
State - DADRA & NAGAR HAVELI (26),Odisha,"2,931"
State - DADRA & NAGAR HAVELI (26),Chhattisgarh,173
State - DADRA & NAGAR HAVELI (26),Madhya Pradesh,"3,015"
State - DADRA & NAGAR HAVELI (26),Gujarat,"6,242"
State - DADRA & NAGAR HAVELI (26),Daman & Diu,273
State - DADRA & NAGAR HAVELI (26),Dadra & Nagar Haveli,0
State - DADRA & NAGAR HAVELI (26),Maharashtra,"7,724"
State - DADRA & NAGAR HAVELI (26),Andhra Pradesh,265
State - DADRA & NAGAR HAVELI (26),Karnataka,354
State - DADRA & NAGAR HAVELI (26),Goa,45
State - DADRA & NAGAR HAVELI (26),Lakshadweep,14
State - DADRA & NAGAR HAVELI (26),Kerala,535
State - DADRA & NAGAR HAVELI (26),Tamil Nadu,223
State - DADRA & NAGAR HAVELI (26),Puducherry,4
State - DADRA & NAGAR HAVELI (26),Andaman & Nicobar Islands,1
State - DADRA & NAGAR HAVELI (26),Last residence outside India,946
State - DADRA & NAGAR HAVELI (26),Countries in Asia beyond India,920
State - DADRA & NAGAR HAVELI (26),Other Countries,26
State - DADRA & NAGAR HAVELI (26),Unclassifiable,"1,011"
State - MAHARASHTRA (27),Total,"7,901,819"
State - MAHARASHTRA (27),Last residence within India,"7,836,499"
State - MAHARASHTRA (27),Within the state of enumeration but outside the place of enumeration,"5,049,732"
State - MAHARASHTRA (27),Elsewhere in the district of enumeration,"2,144,188"
State - MAHARASHTRA (27),In other districts of the state of enumeration,"2,905,544"
State - MAHARASHTRA (27),States in India beyond the state of enumeration,"2,786,767"
State - MAHARASHTRA (27),Jammu & Kashmir,"5,141"
State - MAHARASHTRA (27),Himachal Pradesh,"4,112"
State - MAHARASHTRA (27),Punjab,"17,990"
State - MAHARASHTRA (27),Chandigarh,868
State - MAHARASHTRA (27),Uttarakhand,"15,604"
State - MAHARASHTRA (27),Haryana,"12,570"
State - MAHARASHTRA (27),NCT of Delhi,"23,253"
State - MAHARASHTRA (27),Rajasthan,"154,625"
State - MAHARASHTRA (27),Uttar Pradesh,"1,104,680"
State - MAHARASHTRA (27),Bihar,"263,195"
State - MAHARASHTRA (27),Sikkim,210
State - MAHARASHTRA (27),Arunachal Pradesh,182
State - MAHARASHTRA (27),Nagaland,312
State - MAHARASHTRA (27),Manipur,"1,032"
State - MAHARASHTRA (27),Mizoram,118
State - MAHARASHTRA (27),Tripura,581
State - MAHARASHTRA (27),Meghalaya,496
State - MAHARASHTRA (27),Assam,"13,311"
State - MAHARASHTRA (27),West Bengal,"140,494"
State - MAHARASHTRA (27),Jharkhand,"50,772"
State - MAHARASHTRA (27),Odisha,"55,075"
State - MAHARASHTRA (27),Chhattisgarh,"51,494"
State - MAHARASHTRA (27),Madhya Pradesh,"188,936"
State - MAHARASHTRA (27),Gujarat,"166,908"
State - MAHARASHTRA (27),Daman & Diu,386
State - MAHARASHTRA (27),Dadra & Nagar Haveli,211
State - MAHARASHTRA (27),Maharashtra,0
State - MAHARASHTRA (27),Andhra Pradesh,"93,761"
State - MAHARASHTRA (27),Karnataka,"278,084"
State - MAHARASHTRA (27),Goa,"10,480"
State - MAHARASHTRA (27),Lakshadweep,108
State - MAHARASHTRA (27),Kerala,"65,828"
State - MAHARASHTRA (27),Tamil Nadu,"65,335"
State - MAHARASHTRA (27),Puducherry,346
State - MAHARASHTRA (27),Andaman & Nicobar Islands,269
State - MAHARASHTRA (27),Last residence outside India,"57,723"
State - MAHARASHTRA (27),Countries in Asia beyond India,"43,261"
State - MAHARASHTRA (27),Other Countries,"14,462"
State - MAHARASHTRA (27),Unclassifiable,"7,597"
State - ANDHRA PRADESH (28),Total,"3,737,316"
State - ANDHRA PRADESH (28),Last residence within India,"3,719,154"
State - ANDHRA PRADESH (28),Within the state of enumeration but outside the place of enumeration,"3,438,013"
State - ANDHRA PRADESH (28),Elsewhere in the district of enumeration,"2,043,218"
State - ANDHRA PRADESH (28),In other districts of the state of enumeration,"1,394,795"
State - ANDHRA PRADESH (28),States in India beyond the state of enumeration,"281,141"
State - ANDHRA PRADESH (28),Jammu & Kashmir,741
State - ANDHRA PRADESH (28),Himachal Pradesh,321
State - ANDHRA PRADESH (28),Punjab,"1,576"
State - ANDHRA PRADESH (28),Chandigarh,253
State - ANDHRA PRADESH (28),Uttarakhand,589
State - ANDHRA PRADESH (28),Haryana,"1,314"
State - ANDHRA PRADESH (28),NCT of Delhi,"4,573"
State - ANDHRA PRADESH (28),Rajasthan,"12,767"
State - ANDHRA PRADESH (28),Uttar Pradesh,"16,200"
State - ANDHRA PRADESH (28),Bihar,"17,236"
State - ANDHRA PRADESH (28),Sikkim,42
State - ANDHRA PRADESH (28),Arunachal Pradesh,50
State - ANDHRA PRADESH (28),Nagaland,62
State - ANDHRA PRADESH (28),Manipur,159
State - ANDHRA PRADESH (28),Mizoram,15
State - ANDHRA PRADESH (28),Tripura,126
State - ANDHRA PRADESH (28),Meghalaya,104
State - ANDHRA PRADESH (28),Assam,"2,021"
State - ANDHRA PRADESH (28),West Bengal,"14,261"
State - ANDHRA PRADESH (28),Jharkhand,"3,718"
State - ANDHRA PRADESH (28),Odisha,"44,897"
State - ANDHRA PRADESH (28),Chhattisgarh,"6,477"
State - ANDHRA PRADESH (28),Madhya Pradesh,"4,939"
State - ANDHRA PRADESH (28),Gujarat,"3,891"
State - ANDHRA PRADESH (28),Daman & Diu,15
State - ANDHRA PRADESH (28),Dadra & Nagar Haveli,3
State - ANDHRA PRADESH (28),Maharashtra,"43,278"
State - ANDHRA PRADESH (28),Andhra Pradesh,0
State - ANDHRA PRADESH (28),Karnataka,"47,106"
State - ANDHRA PRADESH (28),Goa,403
State - ANDHRA PRADESH (28),Lakshadweep,12
State - ANDHRA PRADESH (28),Kerala,"11,348"
State - ANDHRA PRADESH (28),Tamil Nadu,"41,517"
State - ANDHRA PRADESH (28),Puducherry,856
State - ANDHRA PRADESH (28),Andaman & Nicobar Islands,271
State - ANDHRA PRADESH (28),Last residence outside India,"17,365"
State - ANDHRA PRADESH (28),Countries in Asia beyond India,"8,211"
State - ANDHRA PRADESH (28),Other Countries,"9,154"
State - ANDHRA PRADESH (28),Unclassifiable,797
State - KARNATAKA (29),Total,"2,887,216"
State - KARNATAKA (29),Last residence within India,"2,869,517"
State - KARNATAKA (29),Within the state of enumeration but outside the place of enumeration,"2,087,519"
State - KARNATAKA (29),Elsewhere in the district of enumeration,"845,980"
State - KARNATAKA (29),In other districts of the state of enumeration,"1,241,539"
State - KARNATAKA (29),States in India beyond the state of enumeration,"781,998"
State - KARNATAKA (29),Jammu & Kashmir,"1,604"
State - KARNATAKA (29),Himachal Pradesh,970
State - KARNATAKA (29),Punjab,"3,289"
State - KARNATAKA (29),Chandigarh,508
State - KARNATAKA (29),Uttarakhand,"1,884"
State - KARNATAKA (29),Haryana,"3,628"
State - KARNATAKA (29),NCT of Delhi,"11,125"
State - KARNATAKA (29),Rajasthan,"31,747"
State - KARNATAKA (29),Uttar Pradesh,"34,920"
State - KARNATAKA (29),Bihar,"35,788"
State - KARNATAKA (29),Sikkim,254
State - KARNATAKA (29),Arunachal Pradesh,184
State - KARNATAKA (29),Nagaland,408
State - KARNATAKA (29),Manipur,"1,829"
State - KARNATAKA (29),Mizoram,121
State - KARNATAKA (29),Tripura,690
State - KARNATAKA (29),Meghalaya,440
State - KARNATAKA (29),Assam,"12,721"
State - KARNATAKA (29),West Bengal,"29,449"
State - KARNATAKA (29),Jharkhand,"8,828"
State - KARNATAKA (29),Odisha,"37,178"
State - KARNATAKA (29),Chhattisgarh,"2,541"
State - KARNATAKA (29),Madhya Pradesh,"7,869"
State - KARNATAKA (29),Gujarat,"7,972"
State - KARNATAKA (29),Daman & Diu,12
State - KARNATAKA (29),Dadra & Nagar Haveli,11
State - KARNATAKA (29),Maharashtra,"55,014"
State - KARNATAKA (29),Andhra Pradesh,"199,501"
State - KARNATAKA (29),Karnataka,0
State - KARNATAKA (29),Goa,"2,888"
State - KARNATAKA (29),Lakshadweep,86
State - KARNATAKA (29),Kerala,"82,697"
State - KARNATAKA (29),Tamil Nadu,"204,746"
State - KARNATAKA (29),Puducherry,886
State - KARNATAKA (29),Andaman & Nicobar Islands,210
State - KARNATAKA (29),Last residence outside India,"16,431"
State - KARNATAKA (29),Countries in Asia beyond India,"9,811"
State - KARNATAKA (29),Other Countries,"6,620"
State - KARNATAKA (29),Unclassifiable,"1,268"
State - GOA (30),Total,"115,870"
State - GOA (30),Last residence within India,"113,092"
State - GOA (30),Within the state of enumeration but outside the place of enumeration,"39,402"
State - GOA (30),Elsewhere in the district of enumeration,"30,837"
State - GOA (30),In other districts of the state of enumeration,"8,565"
State - GOA (30),States in India beyond the state of enumeration,"73,690"
State - GOA (30),Jammu & Kashmir,161
State - GOA (30),Himachal Pradesh,114
State - GOA (30),Punjab,232
State - GOA (30),Chandigarh,21
State - GOA (30),Uttarakhand,210
State - GOA (30),Haryana,189
State - GOA (30),NCT of Delhi,678
State - GOA (30),Rajasthan,"1,254"
State - GOA (30),Uttar Pradesh,"8,509"
State - GOA (30),Bihar,"3,753"
State - GOA (30),Sikkim,10
State - GOA (30),Arunachal Pradesh,5
State - GOA (30),Nagaland,29
State - GOA (30),Manipur,137
State - GOA (30),Mizoram,8
State - GOA (30),Tripura,11
State - GOA (30),Meghalaya,14
State - GOA (30),Assam,954
State - GOA (30),West Bengal,"2,662"
State - GOA (30),Jharkhand,"2,208"
State - GOA (30),Odisha,"2,643"
State - GOA (30),Chhattisgarh,423
State - GOA (30),Madhya Pradesh,978
State - GOA (30),Gujarat,701
State - GOA (30),Daman & Diu,60
State - GOA (30),Dadra & Nagar Haveli,3
State - GOA (30),Maharashtra,"13,081"
State - GOA (30),Andhra Pradesh,"1,453"
State - GOA (30),Karnataka,"29,884"
State - GOA (30),Goa,0
State - GOA (30),Lakshadweep,4
State - GOA (30),Kerala,"2,125"
State - GOA (30),Tamil Nadu,"1,102"
State - GOA (30),Puducherry,16
State - GOA (30),Andaman & Nicobar Islands,58
State - GOA (30),Last residence outside India,"2,285"
State - GOA (30),Countries in Asia beyond India,"1,712"
State - GOA (30),Other Countries,573
State - GOA (30),Unclassifiable,493
State - LAKSHADWEEP (31),Total,"6,135"
State - LAKSHADWEEP (31),Last residence within India,"6,099"
State - LAKSHADWEEP (31),Within the state of enumeration but outside the place of enumeration,"3,840"
State - LAKSHADWEEP (31),Elsewhere in the district of enumeration,"3,840"
State - LAKSHADWEEP (31),In other districts of the state of enumeration,0
State - LAKSHADWEEP (31),States in India beyond the state of enumeration,"2,259"
State - LAKSHADWEEP (31),Jammu & Kashmir,2
State - LAKSHADWEEP (31),Himachal Pradesh,0
State - LAKSHADWEEP (31),Punjab,2
State - LAKSHADWEEP (31),Chandigarh,0
State - LAKSHADWEEP (31),Uttarakhand,2
State - LAKSHADWEEP (31),Haryana,1
State - LAKSHADWEEP (31),NCT of Delhi,16
State - LAKSHADWEEP (31),Rajasthan,5
State - LAKSHADWEEP (31),Uttar Pradesh,4
State - LAKSHADWEEP (31),Bihar,10
State - LAKSHADWEEP (31),Sikkim,0
State - LAKSHADWEEP (31),Arunachal Pradesh,3
State - LAKSHADWEEP (31),Nagaland,0
State - LAKSHADWEEP (31),Manipur,0
State - LAKSHADWEEP (31),Mizoram,1
State - LAKSHADWEEP (31),Tripura,1
State - LAKSHADWEEP (31),Meghalaya,0
State - LAKSHADWEEP (31),Assam,4
State - LAKSHADWEEP (31),West Bengal,104
State - LAKSHADWEEP (31),Jharkhand,1
State - LAKSHADWEEP (31),Odisha,15
State - LAKSHADWEEP (31),Chhattisgarh,2
State - LAKSHADWEEP (31),Madhya Pradesh,18
State - LAKSHADWEEP (31),Gujarat,37
State - LAKSHADWEEP (31),Daman & Diu,39
State - LAKSHADWEEP (31),Dadra & Nagar Haveli,69
State - LAKSHADWEEP (31),Maharashtra,85
State - LAKSHADWEEP (31),Andhra Pradesh,28
State - LAKSHADWEEP (31),Karnataka,28
State - LAKSHADWEEP (31),Goa,3
State - LAKSHADWEEP (31),Lakshadweep,0
State - LAKSHADWEEP (31),Kerala,"1,513"
State - LAKSHADWEEP (31),Tamil Nadu,250
State - LAKSHADWEEP (31),Puducherry,2
State - LAKSHADWEEP (31),Andaman & Nicobar Islands,14
State - LAKSHADWEEP (31),Last residence outside India,27
State - LAKSHADWEEP (31),Countries in Asia beyond India,5
State - LAKSHADWEEP (31),Other Countries,22
State - LAKSHADWEEP (31),Unclassifiable,9
State - KERALA (32),Total,"713,934"
State - KERALA (32),Last residence within India,"691,515"
State - KERALA (32),Within the state of enumeration but outside the place of enumeration,"536,766"
State - KERALA (32),Elsewhere in the district of enumeration,"297,206"
State - KERALA (32),In other districts of the state of enumeration,"239,560"
State - KERALA (32),States in India beyond the state of enumeration,"154,749"
State - KERALA (32),Jammu & Kashmir,454
State - KERALA (32),Himachal Pradesh,85
State - KERALA (32),Punjab,488
State - KERALA (32),Chandigarh,79
State - KERALA (32),Uttarakhand,139
State - KERALA (32),Haryana,300
State - KERALA (32),NCT of Delhi,"2,482"
State - KERALA (32),Rajasthan,"2,268"
State - KERALA (32),Uttar Pradesh,"4,402"
State - KERALA (32),Bihar,"4,875"
State - KERALA (32),Sikkim,40
State - KERALA (32),Arunachal Pradesh,94
State - KERALA (32),Nagaland,211
State - KERALA (32),Manipur,104
State - KERALA (32),Mizoram,24
State - KERALA (32),Tripura,57
State - KERALA (32),Meghalaya,78
State - KERALA (32),Assam,"5,780"
State - KERALA (32),West Bengal,"22,318"
State - KERALA (32),Jharkhand,"1,339"
State - KERALA (32),Odisha,"7,777"
State - KERALA (32),Chhattisgarh,497
State - KERALA (32),Madhya Pradesh,"1,339"
State - KERALA (32),Gujarat,"1,482"
State - KERALA (32),Daman & Diu,12
State - KERALA (32),Dadra & Nagar Haveli,7
State - KERALA (32),Maharashtra,"6,865"
State - KERALA (32),Andhra Pradesh,"4,062"
State - KERALA (32),Karnataka,"12,794"
State - KERALA (32),Goa,357
State - KERALA (32),Lakshadweep,316
State - KERALA (32),Kerala,0
State - KERALA (32),Tamil Nadu,"72,899"
State - KERALA (32),Puducherry,490
State - KERALA (32),Andaman & Nicobar Islands,235
State - KERALA (32),Last residence outside India,"22,107"
State - KERALA (32),Countries in Asia beyond India,"20,236"
State - KERALA (32),Other Countries,"1,871"
State - KERALA (32),Unclassifiable,312
State - TAMIL NADU (33),Total,"3,487,974"
State - TAMIL NADU (33),Last residence within India,"3,453,258"
State - TAMIL NADU (33),Within the state of enumeration but outside the place of enumeration,"3,190,173"
State - TAMIL NADU (33),Elsewhere in the district of enumeration,"1,579,575"
State - TAMIL NADU (33),In other districts of the state of enumeration,"1,610,598"
State - TAMIL NADU (33),States in India beyond the state of enumeration,"263,085"
State - TAMIL NADU (33),Jammu & Kashmir,955
State - TAMIL NADU (33),Himachal Pradesh,146
State - TAMIL NADU (33),Punjab,"1,151"
State - TAMIL NADU (33),Chandigarh,187
State - TAMIL NADU (33),Uttarakhand,218
State - TAMIL NADU (33),Haryana,"1,002"
State - TAMIL NADU (33),NCT of Delhi,"2,909"
State - TAMIL NADU (33),Rajasthan,"16,683"
State - TAMIL NADU (33),Uttar Pradesh,"7,911"
State - TAMIL NADU (33),Bihar,"10,905"
State - TAMIL NADU (33),Sikkim,40
State - TAMIL NADU (33),Arunachal Pradesh,74
State - TAMIL NADU (33),Nagaland,116
State - TAMIL NADU (33),Manipur,243
State - TAMIL NADU (33),Mizoram,25
State - TAMIL NADU (33),Tripura,84
State - TAMIL NADU (33),Meghalaya,90
State - TAMIL NADU (33),Assam,"3,198"
State - TAMIL NADU (33),West Bengal,"9,454"
State - TAMIL NADU (33),Jharkhand,"2,336"
State - TAMIL NADU (33),Odisha,"11,580"
State - TAMIL NADU (33),Chhattisgarh,486
State - TAMIL NADU (33),Madhya Pradesh,"2,208"
State - TAMIL NADU (33),Gujarat,"3,685"
State - TAMIL NADU (33),Daman & Diu,12
State - TAMIL NADU (33),Dadra & Nagar Haveli,22
State - TAMIL NADU (33),Maharashtra,"14,884"
State - TAMIL NADU (33),Andhra Pradesh,"44,312"
State - TAMIL NADU (33),Karnataka,"38,357"
State - TAMIL NADU (33),Goa,364
State - TAMIL NADU (33),Lakshadweep,11
State - TAMIL NADU (33),Kerala,"77,955"
State - TAMIL NADU (33),Tamil Nadu,0
State - TAMIL NADU (33),Puducherry,"10,732"
State - TAMIL NADU (33),Andaman & Nicobar Islands,750
State - TAMIL NADU (33),Last residence outside India,"34,488"
State - TAMIL NADU (33),Countries in Asia beyond India,"28,979"
State - TAMIL NADU (33),Other Countries,"5,509"
State - TAMIL NADU (33),Unclassifiable,228
State - PUDUCHERRY (34),Total,"70,721"
State - PUDUCHERRY (34),Last residence within India,"69,851"
State - PUDUCHERRY (34),Within the state of enumeration but outside the place of enumeration,"18,890"
State - PUDUCHERRY (34),Elsewhere in the district of enumeration,"16,085"
State - PUDUCHERRY (34),In other districts of the state of enumeration,"2,805"
State - PUDUCHERRY (34),States in India beyond the state of enumeration,"50,961"
State - PUDUCHERRY (34),Jammu & Kashmir,22
State - PUDUCHERRY (34),Himachal Pradesh,12
State - PUDUCHERRY (34),Punjab,37
State - PUDUCHERRY (34),Chandigarh,6
State - PUDUCHERRY (34),Uttarakhand,21
State - PUDUCHERRY (34),Haryana,27
State - PUDUCHERRY (34),NCT of Delhi,200
State - PUDUCHERRY (34),Rajasthan,222
State - PUDUCHERRY (34),Uttar Pradesh,249
State - PUDUCHERRY (34),Bihar,175
State - PUDUCHERRY (34),Sikkim,1
State - PUDUCHERRY (34),Arunachal Pradesh,6
State - PUDUCHERRY (34),Nagaland,5
State - PUDUCHERRY (34),Manipur,3
State - PUDUCHERRY (34),Mizoram,1
State - PUDUCHERRY (34),Tripura,10
State - PUDUCHERRY (34),Meghalaya,10
State - PUDUCHERRY (34),Assam,86
State - PUDUCHERRY (34),West Bengal,282
State - PUDUCHERRY (34),Jharkhand,21
State - PUDUCHERRY (34),Odisha,629
State - PUDUCHERRY (34),Chhattisgarh,3
State - PUDUCHERRY (34),Madhya Pradesh,34
State - PUDUCHERRY (34),Gujarat,343
State - PUDUCHERRY (34),Daman & Diu,0
State - PUDUCHERRY (34),Dadra & Nagar Haveli,0
State - PUDUCHERRY (34),Maharashtra,364
State - PUDUCHERRY (34),Andhra Pradesh,"6,008"
State - PUDUCHERRY (34),Karnataka,591
State - PUDUCHERRY (34),Goa,25
State - PUDUCHERRY (34),Lakshadweep,3
State - PUDUCHERRY (34),Kerala,"1,292"
State - PUDUCHERRY (34),Tamil Nadu,"40,250"
State - PUDUCHERRY (34),Puducherry,0
State - PUDUCHERRY (34),Andaman & Nicobar Islands,23
State - PUDUCHERRY (34),Last residence outside India,849
State - PUDUCHERRY (34),Countries in Asia beyond India,637
State - PUDUCHERRY (34),Other Countries,212
State - PUDUCHERRY (34),Unclassifiable,21
State - ANDAMAN & NICOBAR ISLANDS (35),Total,"52,129"
State - ANDAMAN & NICOBAR ISLANDS (35),Last residence within India,"51,500"
State - ANDAMAN & NICOBAR ISLANDS (35),Within the state of enumeration but outside the place of enumeration,"23,777"
State - ANDAMAN & NICOBAR ISLANDS (35),Elsewhere in the district of enumeration,"13,488"
State - ANDAMAN & NICOBAR ISLANDS (35),In other districts of the state of enumeration,"10,289"
State - ANDAMAN & NICOBAR ISLANDS (35),States in India beyond the state of enumeration,"27,723"
State - ANDAMAN & NICOBAR ISLANDS (35),Jammu & Kashmir,16
State - ANDAMAN & NICOBAR ISLANDS (35),Himachal Pradesh,15
State - ANDAMAN & NICOBAR ISLANDS (35),Punjab,83
State - ANDAMAN & NICOBAR ISLANDS (35),Chandigarh,17
State - ANDAMAN & NICOBAR ISLANDS (35),Uttarakhand,32
State - ANDAMAN & NICOBAR ISLANDS (35),Haryana,38
State - ANDAMAN & NICOBAR ISLANDS (35),NCT of Delhi,118
State - ANDAMAN & NICOBAR ISLANDS (35),Rajasthan,61
State - ANDAMAN & NICOBAR ISLANDS (35),Uttar Pradesh,761
State - ANDAMAN & NICOBAR ISLANDS (35),Bihar,646
State - ANDAMAN & NICOBAR ISLANDS (35),Sikkim,5
State - ANDAMAN & NICOBAR ISLANDS (35),Arunachal Pradesh,5
State - ANDAMAN & NICOBAR ISLANDS (35),Nagaland,9
State - ANDAMAN & NICOBAR ISLANDS (35),Manipur,6
State - ANDAMAN & NICOBAR ISLANDS (35),Mizoram,1
State - ANDAMAN & NICOBAR ISLANDS (35),Tripura,40
State - ANDAMAN & NICOBAR ISLANDS (35),Meghalaya,3
State - ANDAMAN & NICOBAR ISLANDS (35),Assam,142
State - ANDAMAN & NICOBAR ISLANDS (35),West Bengal,"8,676"
State - ANDAMAN & NICOBAR ISLANDS (35),Jharkhand,"3,074"
State - ANDAMAN & NICOBAR ISLANDS (35),Odisha,444
State - ANDAMAN & NICOBAR ISLANDS (35),Chhattisgarh,820
State - ANDAMAN & NICOBAR ISLANDS (35),Madhya Pradesh,147
State - ANDAMAN & NICOBAR ISLANDS (35),Gujarat,38
State - ANDAMAN & NICOBAR ISLANDS (35),Daman & Diu,1
State - ANDAMAN & NICOBAR ISLANDS (35),Dadra & Nagar Haveli,0
State - ANDAMAN & NICOBAR ISLANDS (35),Maharashtra,172
State - ANDAMAN & NICOBAR ISLANDS (35),Andhra Pradesh,"4,861"
State - ANDAMAN & NICOBAR ISLANDS (35),Karnataka,130
State - ANDAMAN & NICOBAR ISLANDS (35),Goa,34
State - ANDAMAN & NICOBAR ISLANDS (35),Lakshadweep,12
State - ANDAMAN & NICOBAR ISLANDS (35),Kerala,"1,443"
State - ANDAMAN & NICOBAR ISLANDS (35),Tamil Nadu,"5,855"
State - ANDAMAN & NICOBAR ISLANDS (35),Puducherry,18
State - ANDAMAN & NICOBAR ISLANDS (35),Andaman & Nicobar Islands,0
State - ANDAMAN & NICOBAR ISLANDS (35),Last residence outside India,616
State - ANDAMAN & NICOBAR ISLANDS (35),Countries in Asia beyond India,584
State - ANDAMAN & NICOBAR ISLANDS (35),Other Countries,32
State - ANDAMAN & NICOBAR ISLANDS (35),Unclassifiable,13
